X,Y,featuretype,descripton,class,facility_name,facility_operationalstatus,abs_suburb,facility_state,facility_date,facility_revised
141.798754529,-37.8584191479999,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BRANXHOLME POLICE STATION,OPERATIONAL,BRANXHOLME,Victoria,,2018/05/15 00:00:00+00
147.069627995,-37.8434332699999,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BRIAGOLONG POLICE STATION,OPERATIONAL,BRIAGOLONG,Victoria,,2018/05/15 00:00:00+00
143.940008564,-36.601703716,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BRIDGEWATER POLICE STATION,OPERATIONAL,BRIDGEWATER ON LODDON,Victoria,,2018/05/15 00:00:00+00
146.962049483,-36.731794254,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BRIGHT POLICE STATION,OPERATIONAL,BRIGHT,Victoria,,2018/05/15 00:00:00+00
145.055423388,-37.203404626,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BROADFORD POLICE STATION,OPERATIONAL,BROADFORD,Victoria,,2018/05/15 00:00:00+00
144.916874553,-37.683222999,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BROADMEADOWS POLICE STATION,OPERATIONAL,BROADMEADOWS,Victoria,,2018/05/15 00:00:00+00
144.96306858,-37.762812743,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BRUNSWICK POLICE STATION,OPERATIONAL,BRUNSWICK,Victoria,,2018/05/15 00:00:00+00
147.831119089,-37.7075128289999,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BRUTHEN POLICE STATION,OPERATIONAL,BRUTHEN,Victoria,,2018/05/15 00:00:00+00
144.168414984,-38.049933261,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BANNOCKBURN POLICE STATION,OPERATIONAL,BANNOCKBURN,Victoria,,2018/05/15 00:00:00+00
143.381058135,-37.431484574,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BEAUFORT POLICE STATION,OPERATIONAL,BEAUFORT,Victoria,,2018/05/15 00:00:00+00
143.640059579,-38.195306156,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BEEAC POLICE STATION,OPERATIONAL,BEEAC,Victoria,,2018/05/15 00:00:00+00
146.68887022,-36.358371903,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BEECHWORTH POLICE STATION,OPERATIONAL,BEECHWORTH,Victoria,,2018/05/15 00:00:00+00
145.354617715,-37.90808937,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BELGRAVE POLICE STATION,OPERATIONAL,BELGRAVE,Victoria,,2018/05/15 00:00:00+00
145.975297955,-36.555603587,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BENALLA POLICE STATION,OPERATIONAL,BENALLA,Victoria,,2018/05/15 00:00:00+00
144.266989362,-36.766989644,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BENDIGO POLICE STATION,OPERATIONAL,BENDIGO,Victoria,,2018/05/15 00:00:00+00
148.884912486,-37.147072415,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BENDOC POLICE STATION,OPERATIONAL,BENDOC,Victoria,,2018/05/15 00:00:00+00
147.099325817,-36.12547928,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BETHANGA POLICE STATION,OPERATIONAL,BETHANGA,Victoria,,2018/05/15 00:00:00+00
142.419499446,-35.943240164,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BEULAH POLICE STATION,OPERATIONAL,BEULAH,Victoria,,2018/05/15 00:00:00+00
142.917322285,-35.979800145,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BIRCHIP POLICE STATION,OPERATIONAL,BIRCHIP,Victoria,,2018/05/15 00:00:00+00
143.782711014,-38.336298481,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BIRREGURRA POLICE STATION,OPERATIONAL,BIRREGURRA,Victoria,,2018/05/15 00:00:00+00
146.272320664,-38.3804426519999,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BOOLARRA POLICE STATION,OPERATIONAL,BOOLARRA,Victoria,,2018/05/15 00:00:00+00
143.723409189,-36.116062863,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BOORT POLICE STATION,OPERATIONAL,BOORT,Victoria,,2018/05/15 00:00:00+00
145.285487745,-37.859934558,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BORONIA POLICE STATION,OPERATIONAL,BORONIA,Victoria,,2018/05/15 00:00:00+00
145.127298272,-37.8180849829999,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BOX HILL POLICE STATION,OPERATIONAL,BOX HILL,Victoria,,2018/05/15 00:00:00+00
144.993567885,-37.8040432839999,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,COLLINGWOOD POLICE STATION,OPERATIONAL,ABBOTSFORD,Victoria,,2018/05/15 00:00:00+00
145.707770889,-37.188634559,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ALEXANDRA POLICE STATION,OPERATIONAL,ALEXANDRA,Victoria,,2018/05/15 00:00:00+00
144.84472483,-37.836091896,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ALTONA NORTH POLICE STATION,OPERATIONAL,ALTONA NORTH,Victoria,,2018/05/15 00:00:00+00
144.192228145,-38.4033986389999,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ANGLESEA POLICE STATION,OPERATIONAL,ANGLESEA,Victoria,,2018/05/15 00:00:00+00
143.670381598,-38.759664401,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,APOLLO BAY POLICE STATION,OPERATIONAL,APOLLO BAY,Victoria,,2018/05/15 00:00:00+00
141.083618543,-36.967060596,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,APSLEY POLICE STATION,OPERATIONAL,APSLEY,Victoria,,2018/05/15 00:00:00+00
142.926722421,-37.2842431889999,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ARARAT POLICE STATION,OPERATIONAL,ARARAT,Victoria,,2018/05/15 00:00:00+00
145.079709691,-37.8628742719999,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ASHBURTON POLICE STATION,OPERATIONAL,ASHBURTON,Victoria,,2018/05/15 00:00:00+00
143.474095642,-37.0871701369999,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,AVOCA POLICE STATION,OPERATIONAL,AVOCA,Victoria,,2018/05/15 00:00:00+00
144.859440984,-37.755729787,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,AVONDALE HEIGHTS POLICE STATION,OPERATIONAL,AVONDALE HEIGHTS,Victoria,,2018/05/15 00:00:00+00
144.501567859,-36.786992829,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,AXEDALE POLICE STATION,OPERATIONAL,AXEDALE,Victoria,,2018/05/15 00:00:00+00
144.436020466,-37.675788068,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BACCHUS MARSH POLICE STATION,OPERATIONAL,BACCHUS MARSH,Victoria,,2018/05/15 00:00:00+00
147.635958037,-37.8258639389999,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BAIRNSDALE POLICE STATION,OPERATIONAL,BAIRNSDALE,Victoria,,2018/05/15 00:00:00+00
144.220889177,-37.599951169,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BALLAN POLICE STATION,OPERATIONAL,BALLAN,Victoria,,2018/05/15 00:00:00+00
143.859119187,-37.564186266,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BALLARAT POLICE STATION,OPERATIONAL,BALLARAT CENTRAL,Victoria,,2018/05/15 00:00:00+00
141.832320651,-37.2522101389999,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BALMORAL POLICE STATION,OPERATIONAL,BALMORAL,Victoria,,2018/05/15 00:00:00+00
145.572693823,-36.751731513,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,EUROA POLICE STATION,OPERATIONAL,EUROA,Victoria,,2018/05/15 00:00:00+00
